Label,S1,S2,S3,S4,S5,S6,S7
0,23.83,6.06,6.83,4.82,14.2,15.43,72.3
1,4.82,1.97,2.39,2.42,63.81,4.29,78.2
1,4.63,1.96,2.29,1.5,63.81,4.95,82.2
1,4.69,1.83,2.26,1.43,60.68,4.91,82.0
0,22.75,33.58,26.98,42.44,2.24,14.46,56.5
1,16.62,6.16,4.1,3.52,19.05,12.42,73.1
1,4.65,1.92,2.29,1.49,63.16,4.98,81.8
0,25.72,6.99,7.38,4.44,13.84,16.28,72.5
1,4.73,1.94,2.29,1.52,63.16,5.06,82.1
0,21.64,32.49,27.67,40.96,2.37,14.88,56.5
0,21.64,29.08,24.14,36.99,2.31,14.06,56.5
0,22.44,7.76,6.51,7.8,8.75,15.82,70.8
1,5.1,2.26,2.44,3.13,48.0,4.23,74.8
1,4.63,1.96,2.3,1.5,61.28,4.95,81.7
0,25.6,9.41,8.71,13.85,6.02,16.91,64.0
1,11.04,9.01,2.62,4.26,15.49,9.89,74.0
1,4.5,1.85,2.24,1.39,62.53,4.8,82.4
0,23.28,6.72,6.45,6.4,11.33,15.95,72.8
0,24.99,6.66,7.77,4.74,14.2,15.62,72.6
1,16.48,8.84,3.19,4.15,15.49,12.27,73.2
0,24.4,8.98,7.83,11.07,6.54,16.91,68.8
0,22.24,7.43,6.38,7.47,9.06,15.62,71.3
1,4.95,2.07,2.41,3.04,60.68,4.41,76.7
0,27.01,8.27,8.85,4.96,12.51,16.7,72.7
1,4.67,1.9,2.27,1.35,61.28,5.15,82.0
0,23.39,8.47,7.06,8.8,7.68,16.63,70.6
1,4.5,1.83,2.26,1.37,65.83,4.84,82.2
1,4.91,2.08,2.42,3.17,57.27,4.39,75.9
1,4.93,2.18,2.42,3.36,50.06,4.25,75.0
1,4.52,1.85,2.24,1.38,64.47,4.78,82.5
1,5.42,7.55,2.48,3.48,23.28,4.82,73.8
1,4.57,1.87,2.29,1.47,63.16,4.89,82.4
0,22.03,7.4,6.32,7.35,9.24,15.5,71.2
0,25.11,9.19,8.44,13.68,5.84,16.49,65.4
1,7.24,9.01,2.54,3.86,16.64,7.6,73.7
0,22.34,31.63,25.32,40.96,2.26,14.7,56.5
0,22.03,7.19,6.27,6.96,9.73,15.18,71.6
0,26.75,7.49,8.78,5.04,12.88,16.56,72.7
0,21.93,7.22,6.25,6.99,9.73,15.12,72.2
0,16.69,4.58,4.42,5.39,15.7,12.82,72.7
1,4.5,1.83,2.26,1.38,62.53,4.82,82.2
1,4.67,1.9,2.27,1.38,63.81,5.17,81.8
1,4.63,1.93,2.3,1.48,62.53,5.0,81.5
1,4.95,2.04,2.41,2.82,61.9,4.41,76.7
1,4.54,1.85,2.29,1.4,61.9,4.82,82.0
0,23.39,42.29,29.87,48.22,2.19,14.76,55.8
1,4.71,1.93,2.3,1.51,62.53,5.04,82.0
1,4.46,1.78,2.26,1.34,64.47,4.76,82.9
0,23.72,8.94,6.72,4.64,13.43,15.62,72.9
0,24.52,8.98,7.68,10.55,6.67,16.77,69.4
